gold_commodity,unit,total_tier,bycountry_tier,gold_years,benchmark_years,total_ok_years,bycountry_ok_years,gold_peak_total,pipeline_match
Pork Salted not Hams,CWTS (Hundredweights),SOLID,SOLID,5,1876;1881;1886;1891;1896,1876;1881;1886;1891;1896,1876;1881;1886;1891;1896,352068,PORK|Salted (not Hams)
Paper for Printing or Writing,CWTS (Hundredweights),SOLID,SOLID,4,1876;1881;1886;1891,1876;1881;1886;1891,1876;1881;1886;1891,321635,PAPER|For Printing or Writing
Oil Seed Cakes,Tons,SOLID,SOLID,4,1876;1881;1886;1891,1876;1881;1886;1891,1876;1881;1886;1891,296480,OIL SEED CAKE
Phosphate of Lime and Rock,Tons,SOLID,SOLID,3,1886;1891;1896,1886;1891;1896,1886;1891;1896,291314,MANURES|Phosphate of Lime and Rock
Beef Salted,CWTS (Hundredweights),SOLID,SOLID,5,1876;1881;1886;1891;1896,1876;1881;1886;1891;1896,1876;1881;1886;1891;1896,251304,PORK|Salted
Rabbits,CWTS (Hundredweights),SOLID,SOLID,3,1886;1891;1896,1886;1891;1896,1886;1891;1896,170873,RABBITS
Gum Unenumerated,CWTS (Hundredweights),SOLID,SOLID,5,1876;1881;1886;1891;1896,1876;1881;1886;1891;1896,1876;1881;1886;1891;1896,170411,GUM|Unenumerated
"Wood and Timber Staves - Sawn or Split, Planed or Dressed",Loads,SOLID,SOLID,5,1876;1881;1886;1891;1896,1876;1881;1886;1891;1896,1876;1881;1886;1891;1896,138393,WOOD AND TIMBER|Staves
Animal Oil,CWTS (Hundredweights),SOLID,SOLID,5,1876;1881;1886;1891;1896,1876;1881;1886;1891;1896,1876;1881;1886;1891;1896,113482,OIL|Animal
Zinc Crude in Cakes,Tons,SOLID,SOLID,4,1876;1881;1886;1896,1876;1881;1886;1896,1876;1881;1886;1896,76635,"ZINC|Crude, in Cakes"
Candles of all Sorts,CWTS (Hundredweights),SOLID,SOLID,3,1886;1891;1896,1886;1891;1896,1886;1891;1896,58242,CANDLES OF ALL SORTS
Pictures and Drawings by hand,Number,SOLID,SOLID,3,1886;1891;1896,1886;1891;1896,1886;1891;1896,46303,"PICTURES AND DRAWINGS, BY HAND"
Horse Hair,CWTS (Hundredweights),SOLID,SOLID,5,1876;1881;1886;1891;1896,1876;1881;1886;1891;1896,1876;1881;1886;1891;1896,31190,HAIR|Horse
Olive Oil,Tuns (whale oil),SOLID,SOLID,5,1876;1881;1886;1891;1896,1876;1881;1886;1891;1896,1876;1881;1886;1891;1896,29864,OIL|Olive
Cork Unmanufactured,Tons,SOLID,SOLID,5,1876;1881;1886;1891;1896,1876;1881;1886;1891;1896,1876;1881;1886;1891;1896,24535,CORK|Unmanufactured
Honey,CWTS (Hundredweights),SOLID,SOLID,3,1886;1891;1896,1886;1891;1896,1886;1891;1896,23544,HONEY
Plumbago,Tons,SOLID,SOLID,5,1876;1881;1886;1891;1896,1876;1881;1886;1891;1896,1876;1881;1886;1891;1896,13643,PLUMBAGO
Paper Hangings,CWTS (Hundredweights),SOLID,SOLID,4,1876;1881;1886;1891,1876;1881;1886;1891,1876;1881;1886;1891,10807,PAPER|Hangings
Horns and Hoofs,Tons,SOLID,SOLID,3,1881;1886;1891,1881;1886;1891,1881;1886;1891,6446,HORNS AND HOOFS
Cocoa,Lbs. (Pounds),SOLID,MIXED,5,1876;1881;1886;1891;1896,1876;1881;1886;1891;1896,1876;1881;1886,38281803,COCOA
Pepper (Spice),Lbs. (Pounds),MOSTLY,MOSTLY,5,1876;1881;1886;1891;1896,1876;1881;1886;1896,1876;1881;1886;1896,34794260,SPICES|Pepper
Barley,CWTS (Hundredweights),MOSTLY,MOSTLY,5,1876;1881;1886;1891;1896,1876;1881;1886;1891,1876;1881;1886;1891,22477322,CORN AND GRAIN|Barley
Cotton Raw,CWTS (Hundredweights),MOSTLY,MOSTLY,5,1876;1881;1886;1891;1896,1876;1881;1886;1896,1876;1881;1886;1896,17811476,COTTON|Raw
Oats,CWTS (Hundredweights),MOSTLY,MOSTLY,5,1876;1881;1886;1891;1896,1876;1881;1886;1891,1876;1881;1886;1891,17586730,CORN AND GRAIN|Oats
Spices Unenumerated,Lbs. (Pounds),MOSTLY,MOSTLY,5,1876;1881;1886;1891;1896,1876;1881;1886;1896,1876;1881;1886;1896,13830979,SPICES|Unenumerated
Eggs,Great Hundreds,MOSTLY,MOSTLY,5,1876;1881;1886;1891;1896,1876;1881;1886;1891,1876;1881;1886;1891,13245011,EGGS
Skins Furs Pelts Goat undressed,Number,MOSTLY,MOSTLY,4,1881;1886;1891;1896,1881;1886;1891,1881;1886;1891,9982054,"SKINS, FURS, AND PELTS|Goat, Undressed"
Wine White,Gallons,MOSTLY,MOSTLY,4,1876;1881;1886;1896,1876;1881;1886,1876;1881;1886,9097172,WINE|White
Rice,CWTS (Hundredweights),MOSTLY,MOSTLY,4,1881;1886;1891;1896,1881;1886;1891,1881;1886;1891,8500062,RICE
Potatoes,CWTS (Hundredweights),MOSTLY,MOSTLY,5,1876;1881;1886;1891;1896,1876;1881;1886;1891,1876;1881;1886;1891,6023936,POTATOES
Sauces or Condiments Unenumerated,Lbs. (Pounds),MOSTLY,MOSTLY,5,1876;1881;1886;1891;1896,1876;1881;1886;1891,1876;1881;1886;1891,5812792,"SAUCES OR CONDIMENTS, UNENUMERATED"
Jute,CWTS (Hundredweights),MOSTLY,MOSTLY,4,1876;1881;1891;1896,1876;1881;1891,1876;1881;1891,4928805,JUTE
Quicksilver,Lbs. (Pounds),MOSTLY,MOSTLY,5,1876;1881;1886;1891;1896,1881;1886;1891;1896,1881;1886;1891;1896,4707804,QUICKSILVER
Beans,CWTS (Hundredweights),MOSTLY,MOSTLY,5,1876;1881;1886;1891;1896,1876;1881;1886;1891,1876;1881;1886;1891,4607555,CORN AND GRAIN|Beans
Bacon,CWTS (Hundredweights),MOSTLY,MOSTLY,5,1876;1881;1886;1891;1896,1876;1881;1886;1891,1876;1881;1886;1891,4549526,BACON AND HAMS|Bacon
Caoutchouc Manufactures of,Lbs. (Pounds),MOSTLY,MOSTLY,5,1876;1881;1886;1891;1896,1876;1881;1891;1896,1876;1881;1891;1896,4365472,CAOUTCHOUC|Manufactures of
"Buttons and Studs, not of Metal",None,MOSTLY,MOSTLY,3,1886;1891;1896,1886;1891,1886;1891,4202700,"BUTTONS AND STUDS, NOT OF METAL"
Butter,CWTS (Hundredweights),MOSTLY,MOSTLY,5,1876;1881;1886;1891;1896,1876;1881;1886;1891,1876;1881;1886;1891,3037718,BUTTER
Pickles and Vegetables Preserved in Salt or Vinegar,Gallons,MOSTLY,MOSTLY,3,1886;1891;1896,1891;1896,1891;1896,2244797,"PICKLES AND VEGETABLES, PRESERVED IN SALT OR VINEGAR"
Chemical Essential or Perfumed Oils,Lbs. (Pounds),MOSTLY,MOSTLY,5,1876;1881;1886;1891;1896,1876;1881;1891;1896,1876;1881;1891;1896,2038324,"OIL|Chemical, Essential, or Perfumed"
Spices Cinnamon,Lbs. (Pounds),MOSTLY,MOSTLY,5,1876;1881;1886;1891;1896,1876;1881;1891;1896,1876;1881;1891;1896,1752283,SPICES|Cinnamon
Rosin,CWTS (Hundredweights),MOSTLY,MOSTLY,5,1876;1881;1886;1891;1896,1881;1886;1891;1896,1881;1886;1891;1896,1655374,ROSIN
Sponge,Lbs. (Pounds),MOSTLY,MOSTLY,3,1886;1891;1896,1886;1891,1886;1891,1545632,SPONGE
Perfumery and Articles used in the Manufacture thereof,Lbs. (Pounds),MOSTLY,MOSTLY,3,1881;1886;1891,1886;1891,1886;1891,1431474,"PERFUMERY, AND ARTICLES USED IN THE MANUFACTURE THEREOF"
Coffee,CWTS (Hundredweights),MOSTLY,MOSTLY,3,1876;1881;1886,1876;1886,1876;1886,1361642,COFFEE
Fish Cured or Salted,CWTS (Hundredweights),MOSTLY,MOSTLY,4,1876;1881;1886;1896,1876;1881;1886,1876;1881;1886,1060813,FISH|Cured or Salted
Rye,CWTS (Hundredweights),MOSTLY,MOSTLY,5,1876;1881;1886;1891;1896,1876;1881;1886;1891,1876;1881;1886;1891,982700,CORN AND GRAIN|Rye
Seeds Tares and Lentils,Bushels,MOSTLY,MOSTLY,5,1876;1881;1886;1891;1896,1876;1881;1886;1891,1876;1881;1886;1891,905563,COTTON|Tares and Lentils
Clocks,Number,MOSTLY,MOSTLY,3,1876;1881;1886,1881;1886,1881;1886,863965,CHEESE|CLOCKS
Fish Fresh Not of British Taking,CWTS (Hundredweights),MOSTLY,MOSTLY,4,1876;1881;1886;1891,1876;1881;1886,1876;1881;1886,853917,FISH|Fresh (not of British taking)
Tin in Blocks Ingots Bars or Slabs,CWTS (Hundredweights),MOSTLY,MOSTLY,4,1881;1886;1891;1896,1881;1886;1896,1881;1886;1896,767495,"TIN|In Blocks, Ingots, Bars, or Slabs"
Silk Thrown dyed or not,Lbs. (Pounds),MOSTLY,MOSTLY,4,1881;1886;1891;1896,1886;1891;1896,1886;1891;1896,581867,"SILK|Thrown, Dyed or not Dyed"
Oatmeal and Groats,CWTS (Hundredweights),MOSTLY,MOSTLY,3,1886;1891;1896,1886;1891,1886;1891,554750,MEAL AND FLOUR|Oatmeal and Groats
Zinc Manufactures Unenumerated,CWTS (Hundredweights),MOSTLY,MOSTLY,3,1876;1881;1886,1876;1881,1876;1881,386067,"ZINC|Manufactures, Unenumerated"
Cotton Seeds,Tons,MOSTLY,MOSTLY,5,1876;1881;1886;1891;1896,1876;1881;1886;1891,1876;1881;1886;1891,368419,COTTON
Saltpetre,CWTS (Hundredweights),MOSTLY,MOSTLY,5,1876;1881;1886;1891;1896,1876;1881;1886;1891,1876;1881;1886;1891,340750,SALTPETRE (NITRATE OF POTASH)
Yeast Dried,CWTS (Hundredweights),MOSTLY,MOSTLY,3,1876;1881;1886,1881;1886,1881;1886,296682,"WOOLLEN MANUFACTURES|YEAST, Dried"
Oil Coco-nut,CWTS (Hundredweights),MOSTLY,MOSTLY,3,1876;1886;1896,1886;1896,1886;1896,219198,OIL|Coco-Nut
Alkali,CWTS (Hundredweights),MOSTLY,MOSTLY,5,1876;1881;1886;1891;1896,1876;1881;1886;1891,1876;1881;1886;1891,176156,ALKALI
Leather Manufactures Boots and Shoes,Dozen Pairs,MOSTLY,MOSTLY,4,1876;1886;1891;1896,1876;1886;1891,1876;1886;1891,172840,JUTE|Boots and Shoes
Tar,Barrels,MOSTLY,MOSTLY,5,1876;1881;1886;1891;1896,1876;1886;1891;1896,1876;1886;1891;1896,170037,TAR
Lead Pig and Sheet,Tons,MOSTLY,MOSTLY,5,1876;1881;1886;1891;1896,1881;1886;1891;1896,1881;1886;1891;1896,169724,LEAD|Pig or Sheet
Almonds,CWTS (Hundredweights),MOSTLY,MOSTLY,5,1876;1881;1886;1891;1896,1876;1881;1886;1891,1876;1881;1886;1891,147918,"FLOWERS, ARTIFICIAL|Almonds"
Pitch,CWTS (Hundredweights),MOSTLY,MOSTLY,5,1876;1881;1886;1891;1896,1881;1886;1891;1896,1881;1886;1891;1896,127386,PITCH
Woollen Yarn Unenumerated,None,MOSTLY,MOSTLY,3,1886;1891;1896,1886;1891,1886;1891,117243,WOOLLEN YARN|Unenumerated
Iron Bars,Tons,MOSTLY,MOSTLY,3,1876;1881;1891,1876;1881,1876;1881,111511,IRON|Bars
Iron Pig and Puddled,Tons,MOSTLY,MOSTLY,4,1876;1886;1891;1896,1876;1886;1891,1876;1886;1891,106449,IRON|Pig and Puddled
Cow Ox Bull or Elk Hair,CWTS (Hundredweights),MOSTLY,MOSTLY,5,1876;1881;1886;1891;1896,1876;1881;1886;1891,1876;1881;1886;1891,98380,"HAIR|Cow, Ox, Bull, or Elk"
Bones for manure,Tons,MOSTLY,MOSTLY,5,1876;1881;1886;1891;1896,1881;1886;1891;1896,1881;1886;1891;1896,85129,MANURES|Bones for Manure
Vegetable Ivory,CWTS (Hundredweights),MOSTLY,MOSTLY,3,1886;1891;1896,1886;1891,1886;1891,57426,IVORY|Vegetable
Wax,CWTS (Hundredweights),MOSTLY,MOSTLY,5,1876;1881;1886;1891;1896,1876;1881;1886;1891,1876;1881;1886;1891,43168,WAX
Liquorice,CWTS (Hundredweights),MOSTLY,MOSTLY,5,1876;1881;1886;1891;1896,1876;1881;1886;1891,1876;1881;1886;1891,35252,LIQUORICE
Asphalt or Bitumen,Tons,MOSTLY,MOSTLY,5,1876;1881;1886;1891;1896,1881;1886;1891;1896,1881;1886;1891;1896,28611,ASPHALT OR BITUMEN
Chloral Hydrate,Lbs. (Pounds),MOSTLY,MOSTLY,5,1876;1881;1886;1891;1896,1876;1881;1891;1896,1876;1881;1891;1896,23589,CHLORAL HYDRATE
Seed Oil,Tuns (whale oil),MOSTLY,MOSTLY,3,1881;1886;1891,1881;1886,1881;1886,23011,OIL|Seed
Iron and Steel Old Broken,Tons,MOSTLY,MOSTLY,3,1876;1881;1891,1876;1881,1876;1881,22956,IRON|Old broken Iron and Steel
Arms and Ammunition Gunpowder,CWTS (Hundredweights),MOSTLY,MOSTLY,3,1881;1886;1891,1886;1891,1886;1891,21982,ARMS AND AMMUNITION|Gunpowder
Iron Steel Unwrought,Tons,MOSTLY,MOSTLY,4,1881;1886;1891;1896,1881;1891;1896,1881;1891;1896,17491,"IRON|Steel, Unwrought"
"Coals, Culm, or Cinders",Tons,MOSTLY,MOSTLY,3,1886;1891;1896,1891;1896,1891;1896,15750,"COALS, CULM, AND CINDERS"
Arms and Ammunition Shot Large and Small,CWTS (Hundredweights),MOSTLY,MOSTLY,3,1886;1891;1896,1886;1891,1886;1891,10407,"ARMS AND AMMUNITION|Shot, Large and Small"
Isinglass,CWTS (Hundredweights),MOSTLY,MOSTLY,5,1876;1881;1886;1891;1896,1876;1881;1886;1891,1876;1881;1886;1891,8856,ISINGLASS
Cocoa Husks and Shells,CWTS (Hundredweights),MOSTLY,MOSTLY,4,1876;1886;1891;1896,1876;1891;1896,1876;1891;1896,7620,COCOA|Husks and Shells
Chloroform,Lbs. (Pounds),MOSTLY,MOSTLY,3,1876;1886;1896,1876;1896,1876;1896,4188,CHLOROFORM
Safflower,CWTS (Hundredweights),MOSTLY,MOSTLY,3,1876;1881;1886,1876;1881,1876;1881,3751,ROSIN|SAFFLOWER
Beer and Ale Mum and Spruce,Barrels,MOSTLY,MOSTLY,4,1881;1886;1891;1896,1881;1891;1896,1881;1891;1896,2061,BEER AND ALE|Mum and Spruce
Wheat,CWTS (Hundredweights),MOSTLY,MIXED,5,1876;1881;1886;1891;1896,1876;1881;1886;1891,1876;1886;1891,70025980,CORN AND GRAIN|Wheat
Flaxseed and Linseed,Qrs. (Quarters),MOSTLY,WEAK,5,1876;1881;1886;1891;1896,1881;1886;1891;1896,1881;1896,2578864,COTTON|Flax or Linseed
Oil Castor,CWTS (Hundredweights),MOSTLY,WEAK,5,1876;1881;1886;1891;1896,1876;1881;1886;1891,1881;1891,175813,OIL|Castor
Tobacco Unmanufactured,Lbs. (Pounds),MIXED,MIXED,5,1876;1881;1886;1891;1896,1886;1891;1896,1886;1891;1896,83558757,TOBACCO|Unmanufactured
Indian Corn or Maize,CWTS (Hundredweights),MIXED,MIXED,5,1876;1881;1886;1891;1896,1876;1881;1891,1876;1881;1891,51772100,CORN AND GRAIN|Maize or Indian Corn
Furs,Number,MIXED,MIXED,2,1886;1891,1886;1891,1886;1891,39158304,"SKINS, FURS, AND PELTS|Furs"
Prints and Engravings,Number,MIXED,MIXED,2,1876;1881,1876;1881,1876;1881,9530229,PRINTS AND ENGRAVINGS
Onions,Bushels,MIXED,MIXED,5,1876;1881;1886;1891;1896,1881;1886;1891,1881;1886;1891,6086905,"ONIONS, RAW"
Silk Raw,Lbs. (Pounds),MIXED,MIXED,5,1876;1881;1886;1891;1896,1876;1881;1891,1876;1881;1891,6016927,SILK|Raw
Naphtha Crude,Gallons,MIXED,MIXED,2,1876;1881,1876;1881,1876;1881,2398401,NAPHTHA (CRUDE)
Wood and Timber Hewn Fir (Other than Pit Wood or Pit Props as of 1901),Loads,MIXED,MIXED,5,1876;1881;1886;1891;1896,1886;1891;1896,1886;1891;1896,2135080,WOOD AND TIMBER|Hewn : Fir
Wool Other kinds and Flocks,Lbs. (Pounds),MIXED,MIXED,5,1876;1881;1886;1891;1896,1881;1891;1896,1881;1891;1896,1935216,"WOOL|Other Kinds, and Flocks"
Beads of Glass,Lbs. (Pounds),MIXED,MIXED,2,1876;1881,1876;1881,1876;1881,1613771,BEADS|Of Glass
Hams,CWTS (Hundredweights),MIXED,MIXED,5,1876;1881;1886;1891;1896,1876;1881;1886,1876;1881;1886,1459412,BACON AND HAMS|Hams
Woollen Yarn For Fancy Purposes,Lbs. (Pounds),MIXED,MIXED,5,1876;1881;1886;1891;1896,1886;1891;1896,1886;1891;1896,1420393,WOOLLEN YARN|For Fancy Purposes
Flax Rough or Undressed,CWTS (Hundredweights),MIXED,MIXED,2,1876;1881,1876;1881,1876;1881,1398332,FLAX|Rough or Undressed
Currants,CWTS (Hundredweights),MIXED,MIXED,5,1876;1881;1886;1891;1896,1876;1886;1891,1876;1886;1891,1366449,FRUIT|Currants
Paper Unenumerated,None,MIXED,MIXED,2,1886;1891,1886;1891,1886;1891,1104228,PAPER|Unenumerated
Woollen Manufactures Cloths and Stuffs,Pieces,MIXED,MIXED,2,1876;1881,1876;1881,1876;1881,824870,WOOLLEN MANUFACTURES|Cloths and Stuffs
"Hides Varnished, Japanned or Enamelled",Lbs. (Pounds),MIXED,MIXED,2,1876;1881,1876;1881,1876;1881,695366,"LACE AND ARTICLES THEREOF|Varnished, Japanned, or Enamelled"
Raisins,CWTS (Hundredweights),MIXED,MIXED,5,1876;1881;1886;1891;1896,1886;1891;1896,1886;1891;1896,619493,FRUIT|Raisins
Leather Varnished Japanned or Enamelled,Lbs. (Pounds),MIXED,MIXED,2,1886;1896,1886;1896,1886;1896,481023,"LACE AND ARTICLES THEREOF|Varnished, Japanned, or Enamelled"
Zinc Manufactured,CWTS (Hundredweights),MIXED,MIXED,2,1891;1896,1891;1896,1891;1896,420068,ZINC|Manufactures
Confectionery,CWTS (Hundredweights),MIXED,MIXED,5,1876;1881;1886;1891;1896,1881;1886;1891,1881;1886;1891,347562,CONFECTIONERY
"Glass Plate, whether Silvered or not",CWTS (Hundredweights),MIXED,MIXED,5,1876;1881;1886;1891;1896,1876;1886;1891,1876;1886;1891,258822,"GLASS|Plate, whether Silvered or not"
Yeast,CWTS (Hundredweights),MIXED,MIXED,2,1891;1896,1891;1896,1891;1896,254930,YEAST
Hops,CWTS (Hundredweights),MIXED,MIXED,5,1876;1881;1886;1891;1896,1881;1886;1891,1881;1886;1891,207041,HOPS
Oatmeal,CWTS (Hundredweights),MIXED,MIXED,2,1876;1881,1876;1881,1876;1881,177897,MEAL AND FLOUR|Oatmeal
Buckwheat,CWTS (Hundredweights),MIXED,MIXED,5,1876;1881;1886;1891;1896,1876;1881;1886,1876;1881;1886,177892,CORN AND GRAIN|Buckwheat
Candles Stearine,CWTS (Hundredweights),MIXED,MIXED,2,1876;1881,1876;1881,1876;1881,144380,CANDLES|Stearine
Cotton Manufactures Piece Goods of India and China,Pieces,MIXED,MIXED,2,1876;1881,1876;1881,1876;1881,117685,COTTON MANUFACTURES|Piece Goods of India and China
Gum Arabic,CWTS (Hundredweights),MIXED,MIXED,5,1876;1881;1886;1891;1896,1881;1891;1896,1881;1891;1896,101130,GUM|Arabic
Dye Woods Logwood,Tons,MIXED,MIXED,5,1876;1881;1886;1891;1896,1876;1881;1886,1876;1881;1886,76075,DYE WOODS|Logwood
"Earthenware, not being China or Porcelain Ware",CWTS (Hundredweights),MIXED,MIXED,2,1876;1881,1876;1881,1876;1881,72516,"COTTON MANUFACTURES|EARTHENWARE, not being China or Porcelain Ware"
Gutta Percha Raw,CWTS (Hundredweights),MIXED,MIXED,2,1876;1881,1876;1881,1876;1881,68445,GUTTA PERCHA|Raw
Ginger Raw,CWTS (Hundredweights),MIXED,MIXED,2,1876;1881,1876;1881,1876;1881,62164,SPICES|Ginger (Raw)
Galls,CWTS (Hundredweights),MIXED,MIXED,5,1876;1881;1886;1891;1896,1876;1881;1891,1876;1881;1891,50006,GALLS
Ore Unenumerated,Tons,MIXED,MIXED,5,1876;1881;1886;1891;1896,1876;1881;1891,1876;1881;1891,47704,"ORE, UNENUMERATED"
Horses,Number,MIXED,MIXED,2,1876;1881,1876;1881,1876;1881,41148,COWS|Horses
Copper Unwrought and part Wrought,Tons,MIXED,MIXED,2,1876;1881,1876;1881,1876;1881,39226,COPPER|Unwrought and Part Wrought
Cochineal,CWTS (Hundredweights),MIXED,MIXED,5,1876;1881;1886;1891;1896,1886;1891;1896,1886;1891;1896,30440,"CHEMICAL MANUFACTURES AND PRODUCTS, UNENUMERATED|Cochineal"
Madder,CWTS (Hundredweights),MIXED,MIXED,2,1876;1881,1876;1881,1876;1881,25570,MADDER
Gambier,Tons,MIXED,MIXED,2,1876;1881,1876;1881,1876;1881,24064,GAMBIER
Prunes,CWTS (Hundredweights),MIXED,MIXED,5,1876;1881;1886;1891;1896,1876;1891;1896,1876;1891;1896,24062,FRUIT|Prunes
Flax Dressed,CWTS (Hundredweights),MIXED,MIXED,2,1876;1881,1876;1881,1876;1881,23487,FLAX|Dressed
Lead Manufactures Unenumerated,CWTS (Hundredweights),MIXED,MIXED,5,1876;1881;1886;1891;1896,1876;1881;1886,1876;1881;1886,17041,"LEAD|Manufactures, Unenumerated"
Books,CWTS (Hundredweights),MIXED,MIXED,2,1876;1881,1876;1881,1876;1881,16740,BOOKS
Mares,Number,MIXED,MIXED,2,1891;1896,1891;1896,1891;1896,14309,"ANIMALS, LIVING|Mares"
Maps and Charts,Number,MIXED,MIXED,2,1876;1881,1876;1881,1876;1881,13262,MAPS AND CHARTS
"Gunstocks in the rough, or Wood",CWTS (Hundredweights),MIXED,MIXED,2,1876;1881,1876;1881,1876;1881,12099,"GUNSTOCKS IN THE ROUGH, OF WOOD"
Candles Other Kinds,CWTS (Hundredweights),MIXED,MIXED,2,1876;1881,1876;1881,1876;1881,11864,CANDLES|Other Kinds
Salt,Tons,MIXED,MIXED,2,1876;1881,1876;1881,1876;1881,10303,SALT
Malt,Qrs. (Quarters),MIXED,MIXED,2,1886;1896,1886;1896,1886;1896,5037,MALT
Copper Old (fit only to be re-manufactured from 1876 onward),Tons,MIXED,MIXED,5,1876;1881;1886;1891;1896,1876;1886;1891,1876;1886;1891,4197,"COPPER|Old, fit only to be re-manufactured"
