commodity,bucket,gbp,has_t1,n_cells,n_countries,dupe_pct,dupe_partner,dupe_pct_ub,host_share,dupe_partner_ub,place_article,name_article,fold_candidate
"Flax — Apples, Raw",DUPE-FAM,9784560,0,89,20,62,"Fruit — Apples, Raw",62,55,"Fruit — Apples, Raw",,,
Caoutchouc — East Africa,DUPE-FAM,8929084,0,62,29,2,Caoutchouc,85,85,Caoutchouc,,,
Beef — Eastern Coast Of Africa,DUPE-FAM,8154161,0,56,36,5,Cacosthene — East Coast Of Africa,75,61,Caoutchouc,,,
Shells Of All Kinds — Raw,DUPE-FAM,7955092,0,77,16,1,Silk — Raw,64,62,Silk — Raw,,,
Imitation Rum,DUPE-FAM,7476743,1,105,19,56,Spirits — Brandy,57,45,Spirits — Brandy,,,
"Fish (Including Turtle) — Apples, Raw",DUPE-FAM,5691938,0,83,19,75,"Fruit — Apples, Raw",75,67,"Fruit — Apples, Raw",,,
Caoutchouc — West Africa,DUPE-FAM,5641706,0,53,31,8,Cacosthene,91,85,Caoutchouc,,,
"Chemical Manufactures And Products, Not Enumerated And Not Chargeable With Duty (Including Carbide Of Calcium)",DUPE-FAM,5484944,0,72,16,62,"Chemical Manufactures And Products, Not Enumerated And Not Chargeable With Duty",62,62,"Chemical Manufactures And Products, Not Enumerated And Not Chargeable With Duty",,,
Phosphate Of Lime And Rock,DUPE-FAM,5375181,1,109,27,67,Manures — Phosphate Of Lime And Rock,70,60,Manures — Phosphate Of Lime And Rock,,,
"Cheese — China Or Porcelain, And Earthen- Ware",DUPE-FAM,4637387,0,61,11,82,"China, Or Porcelain, And Earthenware",82,82,"China, Or Porcelain, And Earthenware",,,
Tea — British Indies,DUPE-FAM,4608175,0,11,9,0,,100,100,Tea,,,
"Mutton, Fresh — From Australasia",DUPE-FAM,4312562,0,21,12,0,,71,71,"Mutton, Fresh",,,
Lates,DUPE-FAM,4047419,0,210,40,40,Slates,66,53,Slates,,,
Articles Imported By Parcelpost,DUPE-FAM,3365944,0,124,39,17,"Woollen Yarn — Goods, Being Either In Part Or Wholly Manufactured, Unenumerated",99,99,Zinc — Articles Imported By Parcel Post,,,
"Meat, Unenumerated — Meat, Unenumeratedpreserved, Otherwise Than By Salting",DUPE-FAM,3300305,0,36,27,86,"Preserved, Otherwise Than By Salting",86,86,"Preserved, Otherwise Than By Salting",,,
Notton. Fresh,DUPE-FAM,3282001,0,12,14,83,"Mutton, Fresh",83,83,"Mutton, Fresh",,,
"Ivory — Manufactures Of, Including Piece Goods, Sacks, And Bags",DUPE-FAM,3208407,0,12,7,67,"Jute — Manufactures Of, Including     Piece Goods, Sacks, And     Bags",75,67,"Jute — Manufactures Of, Including     Piece Goods, Sacks, And     Bags",,,
Wool — Cloths,DUPE-FAM,3099164,0,52,21,62,Woollen Yarn — Carpets And Rugs,63,25,Woollen Yarn — Cloths,,,Of Wool (Other Than Goats'): Cloths
"Rags, And Other Materials Formaking Paper — Esparto, And Other Vegetablefibres",DUPE-FAM,3016300,0,14,6,0,,93,93,"Paper-Making Materials — Esparto, And Other Vegetable Fibres",,,
Bark — Eastern Coast Of Africa,DUPE-FAM,2989215,0,107,26,72,Feathers And Down,73,67,Feathers And Down,,,
"Flax — Unenumerated, Dried",DUPE-FAM,2955665,0,155,34,81,"Fish (Including Turtle) — Unenumerated, Dried",92,68,"Fish (Including Turtle) — Unenumerated, Dried",,,
"Shells Of All Kinds — Manufactures, Broad Stuffs, Velvet, Plain Or Figured, Wholly Of Silk",DUPE-FAM,2951706,0,19,4,53,Silk — Manufactures,53,37,Silk — Manufactures,,,
"Flax — Unenumerated, Raw",DUPE-FAM,2780217,0,85,18,89,Fruit — Unenumerated : Raw,89,79,Fruit — Unenumerated : Raw,,,
Cloucharouc,DUPE-FAM,2754692,0,17,17,0,,82,82,Caoutchouc,,,
Coffee — Raw · West Africa,DUPE-FAM,2739214,0,20,17,0,,55,55,Coffee — Raw,,,
"Manufactures Of Iron And Steel — Girders, Beams, Joists And Pillars",DUPE-FAM,2701953,1,7,5,71,"Manufactures Of Iron Or Steel — Girders, Beams And Pillars",71,71,"Manufactures Of Iron Or Steel — Girders, Beams And Pillars",,,
Cacosthene,DUPE-FAM,2667385,0,24,24,96,Cacosthene — East Coast Of Africa,96,75,Caoutchouc,,,
"Cheese — Chemical Manufactures And Pro- Ducts, Not Enumerated",DUPE-FAM,2661265,0,27,14,78,"Chemical Manufactures And Products, Not Enumerated And Not Chargeable With Duty",78,78,"Chemical Manufactures And Products, Not Enumerated And Not Chargeable With Duty",,,
"Shells Of All Kinds — Knubs Or Hueks Of Silk, And Waste",DUPE-FAM,2608110,0,77,20,68,"Silk — Knubs Or Husks Of Silk, And Waste",77,66,"Silk — Knubs Or Husks Of Silk, And Waste",,,
"Leather Manufactures — Unenumerated, Or Whereof Leather Is The Most Valuable Part",DUPE-FAM,2574076,0,36,6,53,Leather Manufactures — Unenumerated,53,33,Leather Manufactures — Unenumerated,,,
Wine — Red: Total Of,DUPE-FAM,2540645,0,20,20,55,"Tobacco — White, In Bottles, Still : Champagne",55,55,"Tobacco — White, In Bottles, Still : Champagne",,,
Fruit — Brandy,DUPE-FAM,2469378,0,24,14,71,Spirits — Brandy,75,62,Spirits — Brandy,,,
"Fish (Including Turtle) — Unenumerated, Raw",DUPE-FAM,2435962,0,84,18,83,Fruit — Unenumerated : Raw,83,73,Fruit — Unenumerated : Raw,,,
Wood,DUPE-FAM,2402984,0,9,9,56,Eggs,56,56,Eggs,,,Wood And Timber — Sawn Or Split
Coffee — Raw · India,DUPE-FAM,2340964,0,16,16,0,,100,100,Coffee — Raw,,,
"Hides, Raw, And Pieces Thereof — Horn",DUPE-FAM,2322599,0,8,8,100,Hops,100,100,Hops,,,
"Prints, Engravings And Photo- Graphs — Printes Of Iron Or Copper",DUPE-FAM,2265788,0,10,7,80,Pyrites Of Iron Or Copper,80,80,Pyrites Of Iron Or Copper,,,
Bones For Manure (Whether Burnt Or Not),DUPE-FAM,2249149,1,149,36,70,Manures — Bones For Manure,72,60,Manures — Bones For Manure,,,
"Tea — White, In Bottles: Sparkling : Champagne",DUPE-FAM,2248340,0,2,2,100,Tobacco — Champagne,100,100,Tobacco — Champagne,,,
"Straw — Straw Platting, For Making Hatsor Bonnets",DUPE-FAM,2246045,0,28,13,0,,93,93,Straw Platting For Hats Or Bonnets,,,
Paper — Refined,DUPE-FAM,2180779,0,5,3,100,Petroleum — Refined,100,100,Petroleum — Refined,,,
Cotton — Eastern Coast Of Africa,DUPE-FAM,2074349,0,96,25,58,Cotton,58,43,Cotton,,,
"Hats Or Bonnets — Hide, Dressed Or Undressed",DUPE-FAM,2056154,0,15,15,87,Hemp — Dressed Or Undressed,87,87,Hemp — Dressed Or Undressed,,,
Rape,DUPE-FAM,1986869,1,58,17,83,Seeds — Rape,83,76,Seeds — Rape,,,
Corn And Grain — Unenumerated,DUPE-FAM,1905369,0,30,24,60,"Dye Stuffs, And Substances Used In Tanning — Unenumerated",87,60,"Dye Stuffs, And Substances Used In Tanning — Unenumerated",,,
Oil — Oil Seed Cark,DUPE-FAM,1896785,0,4,4,0,,100,100,Oil — Oil Seed Cakes,,,
"Metal — Nitre, Crude",DUPE-FAM,1893767,0,3,3,100,"Nitre, Cubic (Nitrate Of Soda)",100,100,"Nitre, Cubic (Nitrate Of Soda)",,,
Bark — Logwood,DUPE-FAM,1888138,0,42,12,52,Dye Woods — Logwood,62,52,Dye Woods — Logwood,,,
"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver — Skins, Unenumerated, Undressed",DUPE-FAM,1807541,0,185,42,71,"Skins, And Furs — Skins, Unenumerated, Undressed",82,52,Shells Of All Kinds — Dressed,,,
Beads Of All Sorts — Fresh,DUPE-FAM,1799581,0,18,6,61,Beef — Fresh,61,56,Beef — Fresh,,,
Peas,DUPE-FAM,1711200,1,45,25,60,Beans (Not Kidney Or French),60,38,Beans (Not Kidney Or French),,,
"Drugs — Unenumerated, Including Medicinal Preparations Not Liable To Duty",DUPE-FAM,1692634,0,75,15,73,"Drugs — Unenumerated, Including Medi-   ""   Cinal Preparations Not Liable   ""   To Duty",73,73,"Drugs — Unenumerated, Including Medi-   ""   Cinal Preparations Not Liable   ""   To Duty",,,
"Dye Stuffs (Other Than Dye Woods) And Substances Used In Tan- Ning Or Dyeing — Dyes Obtained From Coal Tar, Aniline",DUPE-FAM,1685939,0,25,5,84,"Dye Stuffs, And Substances Used In Tanning — Aniline",84,72,"Dye Stuffs, And Substances Used In Tanning — Aniline",,,
"Skins, And Furs — Skins, Unenumerated, Undressed",DUPE-FAM,1682216,1,168,42,79,"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver — Skins, Unenumerated, Undressed",80,54,"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver — Skins, Unenumerated, Undressed",,,
Oil — Oil Seed Cure,DUPE-FAM,1631277,0,5,5,100,Oil — Oil Seed Cakes,100,100,Oil — Oil Seed Cakes,,,
"Horns, Tips And Pieces Of Horns And Hoofs — Manufactures Of, Including Piece Goods, Sacks, And Bags",DUPE-FAM,1628903,0,7,7,86,"Jute — Manufactures Of, Including     Piece Goods, Sacks, And     Bags",86,86,"Jute — Manufactures Of, Including     Piece Goods, Sacks, And     Bags",,,
Lead — Uneenumerated,DUPE-FAM,1589552,0,66,22,65,Manures — Unenumerated,65,39,Manures — Unenumerated,,,
Sugar — From British Possessions In South Africa,DUPE-FAM,1580161,0,5,6,20,Sugar — From Australasia,100,100,"Sugar — Unrefined, Total",,,
Nuts And Kernels — From West Coast Of Africa (Foreign),DUPE-FAM,1536781,0,28,18,0,,79,75,Nuts And Kernels — Commonly Used For Expressing Oil Therefrom,,,
Nuts And Kernels — India,DUPE-FAM,1455920,0,38,30,29,Nuts And Kernels — Dutch Possessions In The Indian Seas,95,92,Nuts And Kernels — Commonly Used For Expressing Oil Therefrom,,,
"Woollen Yarn — Goods, Being Either In Part Or Wholly Manufactured, Unenumerated",DUPE-FAM,1396703,0,79,42,24,Articles Imported By Parcelpost,81,80,Parcel Post (Goods Free Of Duty),,,
"Oils — Fish, Train Or Blubber",DUPE-FAM,1389531,1,35,10,51,Oil — Fish : Train Or Blubber,57,51,Oil — Fish : Train Or Blubber,,,
"Stationery, Other Than Paper — Rough, Hewn Or Manufactured: (Other Than Works Of Art)",DUPE-FAM,1359042,0,27,14,78,"Stones, Marble, And Slate — (Other Than Works Of Art)",96,96,"Stones, Marble, And Slate — (Other Than Works Of Art)",,,
"Teeth, Elephants', Sea Cow, And Sea Horse — West Coast Of Africa, Foreign",DUPE-FAM,1342097,0,27,13,0,,93,93,"Teeth, Elephants', Sea Cow, And Sea Horse",,,
Bark — Fresh (Not Of British Taking) Herrings,DUPE-FAM,1333595,0,36,13,78,Fish (Including Turtle) — Other Sorts Of Fresh Fish,81,39,Fish (Including Turtle) — Other Sorts Of Fresh Fish,,,
Liard,DUPE-FAM,1308844,0,5,5,80,Lard,80,80,Lard,,,
"Glass — Window Glass (Not Being Plate Glass), Andgerman Sheet Glass, Including Shades Andcylinders",DUPE-FAM,1299394,0,9,4,0,,100,100,"Glass — Window Glass (Not Being Plate Glass), And German Sheet Glass, Including Shades And Cylinders",,,
"Leather — Manufactures, Including Manufactures Of Linen Mixed With Cotton",DUPE-FAM,1274864,0,78,23,53,"Linen — Manufactures, Including Manu- Factures Of Linen Mixed With Cotton",76,47,"Linen — Manufactures, Including Manu- Factures Of Linen Mixed With Cotton",,,
"Copper, Ore Of — Dyes Obtained From Coal Tar, Alizarine",DUPE-FAM,1253573,0,7,3,86,"Dye Stuffs (Other Than Dye Woods) And Substances Used In Tan- Ning Or Dyeing — Dyes Obtained From Coal Tar, Alizarine",86,86,"Dye Stuffs (Other Than Dye Woods) And Substances Used In Tan- Ning Or Dyeing — Dyes Obtained From Coal Tar, Alizarine",,,
"Dye Stuffs (Other Than Dye Woods), And Substances Used In Tanning Or Dyeing — Unenumerated",DUPE-FAM,1227023,0,141,35,52,"Copper, Ore Of — Valonia",54,38,"Copper, Ore Of — Valonia",,,
"Cocoa — Cocoa Or Chocolate, Ground, Prepared Orin Any Way Manufactured",DUPE-FAM,1218527,0,34,10,0,,71,59,"Cocoa Or Chocolate, Ground, Prepared Or In Any Way Manufactured",,,
Zinc — Manufactures,DUPE-FAM,1187510,0,15,5,93,"Zinc — Manufactures, Unenumerated",93,93,"Zinc — Manufactures, Unenumerated",,,"Zinc — Manufactures, Unenumerated"
"Matches — .. Preserved, Otherwise Than Bysalting : Beef",DUPE-FAM,1184004,0,7,7,0,,100,100,"Meat. Unenumerated — Preserved, Otherwise Than By Salting : Beef",,,
Fish,DUPE-FAM,1174134,1,7,8,86,Oil — West Africa,86,86,Oil — Palm,,,
Oil — West Africa,DUPE-FAM,1174134,0,7,8,86,Fish,100,100,Oil — Palm,,,
"Copper, Ore Of — Dutch Possessions In The Indian Seas",DUPE-FAM,1160428,0,105,22,73,"Drugs — Unenumerated, Including Medi-   ""   Cinal Preparations Not Liable   ""   To Duty",73,69,"Drugs — Unenumerated, Including Medi-   ""   Cinal Preparations Not Liable   ""   To Duty",,,
"Hats Or Bonnets — Unenumerated Vegetable Sub- Stances, Applicable To The Same Uses As Hemp Or Flax",DUPE-FAM,1145493,0,104,24,64,"Hemp — Unenumerated Vegetable Substances, Applicable To The Same Uses As Flax Or Hemp",70,55,"Hemp — Unenumerated Vegetable Substances, Applicable To The Same Uses As Flax Or Hemp",,,
Wood And Timber — From British East Indies,DUPE-FAM,1133604,0,4,2,0,,100,100,Wood And Timber — Teak,,,
"Ntre, Cubic",DUPE-FAM,1102583,0,4,6,100,"Nitre, Cubic (Nitrate Of Soda)",100,100,"Nitre, Cubic (Nitrate Of Soda)",,,
"Horns, Tips And Pieces Of Horns And Hoofs — Steel, Unwrought",DUPE-FAM,1079708,0,39,9,74,Steel — Unwrought,74,74,Steel — Unwrought,,,
Drugs — From British East Indies,DUPE-FAM,1079575,0,18,9,0,,94,67,"Drugs — Bark, Peruvian",,,
Metal — Condensed Or Preserved,DUPE-FAM,1079235,0,8,8,88,"Milk, Condensed",88,88,"Milk, Condensed",,,
"Cotton — Manufactures, Broad Stuffs, Velvet, Plain Or Figured, Wholly Of Silk",DUPE-FAM,1039523,0,8,4,75,Silk — Manufactures,75,75,Silk — Manufactures,,,
Hemp — Dry,DUPE-FAM,984190,0,76,16,76,Glass — Dry,76,61,Glass — Dry,,,
"Animals, Living — Stallions : Geldings",DUPE-FAM,949468,0,35,16,66,Geldings,66,66,Geldings,,,
Eggs — Eastern Coast Of Africa,DUPE-FAM,944325,0,15,15,73,Farinaceous Substances And Manufactures Thereof,73,73,Farinaceous Substances And Manufactures Thereof,,,
Wool — Mohair,DUPE-FAM,926867,0,9,9,0,,78,78,"Wool — Goats' Wool, Mohair",,,"Wool — Goats' Wool, Mohair"
Sugar — From Australasia,DUPE-FAM,890092,0,2,4,50,Sugar — From British Possessions In South Africa,100,100,"Sugar — Unrefined : Cane, And Other Sorts",,,
"Tar — West Coast Of Africa, Foreign",DUPE-FAM,869590,0,20,9,0,,55,55,"Teeth, Elephants', Sea Cow, And Sea Horse",,,
Lates — Ginger,DUPE-FAM,844974,0,57,14,51,Spices — Ginger,53,30,Spices — Ginger,,,
Glass — Unenumerated,DUPE-FAM,833701,1,49,10,84,Flax — Unenumerated,84,71,Flax — Unenumerated,,,
Cheese — Maize Or Indian Cornmeal,DUPE-FAM,832483,0,4,2,75,Corn And Grain — Maize Or Indian Cornmeal,75,75,Corn And Grain — Maize Or Indian Cornmeal,,,
Leather — Unenumerated,DUPE-FAM,831978,0,48,14,67,Lead — Uneenumerated,69,54,Lead — Uneenumerated,,,Leather Manufactures — Unenumerated
"Stationery, Other Than Paper — Stones, Marble, Rough, Hewn Ormanufactured (Other Than Worksof Art)",DUPE-FAM,828227,0,14,15,0,,100,100,"Stones, Marble, Rough Hewn, Or Manufactured (Other Than Works Of Art)",,,
"Copper, Ore Of — Manufactures Of, Not Otherwise Enumerated Or Described, Including Copper Plates Engraved",DUPE-FAM,804706,0,36,8,64,Part Wrought,64,33,Part Wrought,,,
"Skins, And Furs — Skins, Sheep, Undressed",DUPE-FAM,799831,1,66,14,39,"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver — Skins, Sheep, Undressed",58,58,"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver — Skins, Sheep, Undressed",,,
Drugs — Not Liable To Duty,DUPE-FAM,748425,0,21,21,71,"Drugs — Unenumerated, Including Medi-   ""   Cinal Preparations Not Liable   ""   To Duty",71,67,"Drugs — Unenumerated, Including Medi-   ""   Cinal Preparations Not Liable   ""   To Duty",,,
"Horns, Tips And Pieces Of Horns And Hoofs — Manufactures Of Iron Or Steel: Sewing Machines And Parts Thereof",DUPE-FAM,745216,0,25,6,60,"Iron — Sewing Machines, And Parts Thereof",64,60,"Iron — Sewing Machines, And Parts Thereof",,,
"Hides, Raw, And Pieces Thereof — East-Coast Of Africa",DUPE-FAM,734891,0,28,28,61,Hemp,61,57,Hemp,,,
"Fish — Fresh, Other Sorts",DUPE-FAM,726617,1,18,11,56,Fish (Including Turtle) — Other Sorts Of Fresh Fish,61,50,Fish (Including Turtle) — Other Sorts Of Fresh Fish,,,
"Horns, Tips, And Pieces Of Horn, And Hoofs",DUPE-FAM,722052,1,37,27,27,"Horns, Tips And Pieces Of Horns And Hoofs",65,62,"Horns, Tips And Pieces Of Horns And Hoofs",,,
"Dye Stuffs (Other Than Dye Woods), And Substances Used In Tanning Or Dyeing — Sumach",DUPE-FAM,710762,0,19,8,68,Sumach,68,58,Sumach,,,
"Tea — White, In Casks",DUPE-FAM,704683,0,17,17,71,"Tobacco — White, In Casks",76,71,"Tobacco — White, In Casks",,,
"Drugs — Unenumerated, Including Medicinal Preparations",DUPE-FAM,697414,0,29,29,79,"Drugs — Unenumerated, Including Medi-   ""   Cinal Preparations Not Liable   ""   To Duty",79,79,"Drugs — Unenumerated, Including Medi-   ""   Cinal Preparations Not Liable   ""   To Duty",,,
Drugs — Medicinal Preparations,DUPE-FAM,694486,0,29,29,86,"Drugs — Unenumerated, Including Medi-   ""   Cinal Preparations Not Liable   ""   To Duty",86,83,"Drugs — Unenumerated, Including Medi-   ""   Cinal Preparations Not Liable   ""   To Duty",,,
Cotton — Other Kinds Of,DUPE-FAM,681909,1,15,4,53,Silk Manufactures — Ribbons:—Other Kinds,53,53,Silk Manufactures — Ribbons:—Other Kinds,,,
Corn And Grain — From United States Of America,DUPE-FAM,672758,0,11,4,0,,100,100,Corn And Grain — Oatmeal,,,
Tobacco — Total Of All Kinds,DUPE-FAM,661185,0,51,12,33,Wine — Total Of All Kinds,57,55,Wine — Total Of All Kinds,,,
"Petroleum — Pickles And Vegetables, Preservedin Salt Or Vinegar",DUPE-FAM,640031,0,38,13,5,"Pickles And Vegetables, Preserved In Salt Or Vinegar",95,95,"Pickles And Vegetables, Preserved In Salt Or Vinegar",,,
Spices,DUPE-FAM,635122,0,7,7,29,Slates,57,57,Slates — Pepper,,,Spices — Pepper
Seeds — From Russia,DUPE-FAM,612749,0,6,6,0,,100,100,Seeds — Flax Or Linseed,,,
Manures — Phosphate Of Lime And Rook,DUPE-FAM,611088,1,14,14,93,Manures — Phosphate Of Lime And Rock,93,93,Manures — Phosphate Of Lime And Rock,,,
Metal — Olive,DUPE-FAM,607203,0,9,10,0,,78,78,Nuts And Kernels — Coco-Nut,,,
Sugar — Eastern Coast Of Africa,DUPE-FAM,605979,0,21,8,0,,81,52,Whalebone,,,
Shell Fish : Oysters,DUPE-FAM,596513,1,9,5,89,Fish (Including Turtle) — Shell Fish Of All Sorts,89,67,Fish (Including Turtle) — Shell Fish Of All Sorts,,,
Honey — Hors,DUPE-FAM,591582,0,7,7,0,,86,86,Hops,,,
"Metal — Nitre, Cubio (Nitrate Of Soda)",DUPE-FAM,584807,0,3,3,100,"Nitre, Cubic (Nitrate Of Soda)",100,100,"Nitre, Cubic (Nitrate Of Soda)",,,
"Paraffine — Perfumery, And Articles Used Inthe Manufacture Thereof",DUPE-FAM,581017,0,49,19,0,,100,57,"Perfumery, And Articles Used In The Manufacture Thereof",,,
"Copper, Ore Of — Sumach",DUPE-FAM,577411,0,18,7,78,"Madder, Madder Root, Garancine, And Munjeet",78,61,"Madder, Madder Root, Garancine, And Munjeet",,,
Sugar — Other Sorts,DUPE-FAM,546121,0,8,10,50,Sugar — Refined : Total Of,75,62,Sugar — Refined : Total Of,,,"Sugar — Unrefined, Total"
Bark — Catch And Gambier,DUPE-FAM,545395,0,3,6,67,Cutch And Gambier,67,67,Cutch And Gambier,,,
Fathers — For Bens,DUPE-FAM,508562,0,21,6,86,Feathers — For Beds,86,67,Feathers — For Beds,,,
Hats Or Bonnets — Eastern Coast Of Africa,DUPE-FAM,482033,0,56,22,61,Hemp,61,61,Hemp,,,
Wood — For Beds,DUPE-FAM,456127,0,13,13,77,Feathers And Down — Ornamental,77,46,Feathers And Down — Ornamental,,,
Feathers And Down — Sardines,DUPE-FAM,455427,0,5,5,80,"Cured, Sardines",80,80,"Cured, Sardines",,,
"Woollen Manufactures — Yarn, Dried",DUPE-FAM,438899,0,4,4,100,"Yeast, Dried",100,100,"Yeast, Dried",,,
Fish (Including Turtle) — Sardines,DUPE-FAM,426739,0,7,7,71,"Cured, Sardines",71,71,"Cured, Sardines",,,
Furniture And Hardwoods — Mahogany : Unenumerated,DUPE-FAM,407562,0,22,22,68,Wood And Timber — Furniture And Hardwoods : Unenumerated,68,68,Wood And Timber — Furniture And Hardwoods : Unenumerated,,,Furniture And Hardwoods : Mahogany Tons Unenumerated
"Leather Manufactures — Unenumerated, Or Where Of Leather   Is The Most Valuable Part",DUPE-FAM,407096,0,6,6,100,"Leather Manufactures — Unenumerated, Or Whereof Leather Is The Most Valuable Part",100,100,"Leather Manufactures — Unenumerated, Or Whereof Leather Is The Most Valuable Part",,,
"Pyrites Of Iron Or Copper Or Sulphur Ore — Quicksilver, Metallic",DUPE-FAM,407029,0,5,5,80,Quicksilver,80,80,Quicksilver,,,
Zinc — Of Other Sorts,DUPE-FAM,402557,0,22,7,77,Beer And Ale — Of Other Sorts,82,77,Beer And Ale — Of Other Sorts,,,"Zinc — Crude, In Cakes"
"Iron — Manufactures : Girders, Beams And Pillars",DUPE-FAM,386361,0,3,3,100,"Manufactures Of Iron Or Steel — Girders, Beams And Pillars",100,100,"Manufactures Of Iron Or Steel — Girders, Beams And Pillars",,,"Manufactures Of Iron Or Steel — Girders, Beams And Pillars"
"Linen — Yarn : Manufactures, Including Manu- Factures Of Linen Mixed With Cotton",DUPE-FAM,381650,0,6,6,83,"Linen — Manufactures, Including Manu- Factures Of Linen Mixed With Cotton",83,83,"Linen — Manufactures, Including Manu- Factures Of Linen Mixed With Cotton",,,
Cotton — Shumach,DUPE-FAM,370527,0,5,3,100,Shumach,100,100,Shumach,,,
"Ivory — Tooth, Elephants', Sea Cow, Sea Horse, Or Sea Morse",DUPE-FAM,369249,0,12,7,100,"Teeth, Elephants', Sea-Cow, Sea-Horse, Or Sea-Morse",100,92,"Teeth, Elephants', Sea-Cow, Sea-Horse, Or Sea-Morse",,,
"Ivory — Teeth, Elephants, Sea Dogs, Sea Horse, Or Sea Morses",DUPE-FAM,361539,0,8,8,75,"Ivory — Tooth, Elephants', Sea-Dog, Sea Horse, Or Sea Morse",75,75,"Ivory — Tooth, Elephants', Sea-Dog, Sea Horse, Or Sea Morse",,,
Ivory — East Africa,DUPE-FAM,351057,0,12,13,100,Ivory,100,100,Ivory,,,
Nuts And Kernels — .. West Africa,DUPE-FAM,349100,0,9,9,0,,67,67,Nuts And Kernels — Commonly Used For Expressing Oil Therefrom,,,
"Chicory : Other Vegetable Matter, Applicable To The Uses Of Chicory Or Of Coffee",DUPE-FAM,328987,1,10,13,90,"China, Or Porcelain, And Earthenware",90,90,"China, Or Porcelain, And Earthenware",,,
"Arms And Ammunition — Rockets And Other Combustibles For Purposes Of War; Explosives, Perussion Caps, And Ammun- Ition Unenumerated",DUPE-FAM,327620,0,29,11,52,"Ammunition — Rockets And Other Combustibles For Purposes Of War, Explosives, Percussion Caps, And Ammunition Not Otherwise Enumerated Or Described",52,34,"Ammunition — Rockets And Other Combustibles For Purposes Of War, Explosives, Percussion Caps, And Ammunition Not Otherwise Enumerated Or Described",,,
Fruit — Unenumerated : Preserved Without Sugar,DUPE-FAM,324742,0,16,15,0,,88,88,Preserved Without Sugar,,,
Hats Or Bonnets — Unenumerated,DUPE-FAM,310871,0,8,8,100,Hair — Unenumerated,100,100,Hair — Unenumerated,,,
"Flax, Dressed And Undressed, And Tow",DUPE-FAM,307865,1,6,7,50,Tow,67,67,Tow,,,
"Bark — Dyes Obtained From Coal Tar, Alizarine",DUPE-FAM,302218,0,1,2,100,"Dye Stuffs, And Substances Used In Tanning — Alizarine",100,100,"Dye Stuffs, And Substances Used In Tanning — Alizarine",,,
"Copper, Ore Of — From British Possessions In South Africa",DUPE-FAM,299808,0,5,4,0,,80,60,"Copper, Ore Of",,,
