gold_commodity,pipeline_fullname,method,confidence
Gambier,GAMBIER None,exact,1.0
Geldings,Geldings,exact,1.0
Ginger Raw,Raw,subset,1.0
Ginger Spice,Ginger (Raw),subset,1.0
Glass Bottles,GLASS None,subset,1.0
"Glass Manufactures, Unenumerated","GLASS: 
                    „ Manufactures, unenumerated None",exact,1.0
Glass Plate Fluted Rolled or Rough,"Plate, Fluted, Rolled, or Rough",subset,1.0
"Glass Plate, whether Silvered or not","Plate, whether Silvered or not",subset,1.0
Gloves,Gloves,exact,1.0
Glucose,Glucose,exact,1.0
Goats Wool or Hair Mohair,"Goats' wool, Mohair",subset,1.0
Gold Leave,Leaves of,subset,1.0
"Gold Ore of, or Ore of which the greater part in Value is Gold","Ore of, or Ore of which the greater part in Value is Gold",exact,1.0
Goods Unenumerated Manufactured,"GOODS, not being either in part or wholly manufactured, unenum- erated",subset,1.0
Goods Unenumerated Unmanufactured,"Goods, Unenumerated",subset,1.0
Grapes,"Grapes, Raw",subset,1.0
Guano,GUANO,exact,1.0
Gum Arabic,"GUM : 
                    „ Arabic None",exact,1.0
Gum Kowrie,Kowrie,subset,1.0
"Gum Lac, Seed, Shell, Stick, and Dye","Lac, Seed, Shell, Stick, and Dye",subset,1.0
Gum Unenumerated,GUM None,exact,1.0
"Gunstocks in the rough, or Wood","GUNSTOCKS in the rough, of Wood None",exact,1.0
Gutta Percha,GUTTA PERCHA None,exact,1.0
Gutta Percha Manufactures of,"GUTTA PERCHA, Manufactures of None",exact,1.0
Gutta Percha Raw,GUTTA PERCHA None,subset,1.0
Hair Manufactures of Hair not being of Goats Hair or Wool,"Manufactures of Hair, not being of Goats' Hair   or Wool",exact,1.0
Hair Unenumerated,Unenumerated,exact,1.0
Hams,Hams,exact,1.0
Hats and Bonnets of Felt,HATS OR BONNETS None,subset,1.0
Hats and Bonnets of Straw,"STRAW PLATTING, for making Hats or Bonnets None",subset,1.0
Hats and Bonnets of other Material,HATS OR BONNETS None,subset,1.0
Hay,HAY None,exact,1.0
Hemp,HEMP None,exact,1.0
Hemp Dressed,"HEMP, Dressed or Undressed None",subset,1.0
Hemp Dressed or Undressed,"HEMP, Dressed or Undressed None",exact,1.0
Hemp Rough or Undressed,Rough or Undressed,subset,1.0
Hemp Tow or Codilla of Hemp,Tow or Codilla of,subset,1.0
Hides Raw Dry,Dry,subset,1.0
Hides Raw Wet,Raw,subset,1.0
Hides Tanned Tawed Curried or Dressed (except Russia Hides),"Unenumerated: Other Sorts, Tanned, Tawed,     or Dressed",subset,1.0
Hides Tanned not otherwise Dressed,"Tanned, not otherwise Dressed",subset,1.0
"Hides Tawed Curried or in any way Dress, not being Varnished Japanned or Enamelled","Varnished, Japanned, or Enamelled",subset,1.0
Hides Untanned Dry,Dry,subset,1.0
Hides Untanned Wet,Wet,subset,1.0
"Hides Varnished, Japanned or Enamelled","Varnished, Japanned, or Enamelled",subset,1.0
Honey,HONEY None,exact,1.0
Hops,Hops None,exact,1.0
Horns Tips and Pieces of Horns and Hoofs,Tips and Pieces of Horn and Hoofs,exact,1.0
Horns and Hoofs,Horns and Hoofs None,exact,1.0
Horse Hair,Horses,subset,1.0
Horses,Horses,exact,1.0
Ice,ICE None,exact,1.0
Imitation Lard,Imitation Lard (including all kinds of Artificial or Imitation Lard),exact,1.0
Imitation Rum,"Rum, Imitation",exact,1.0
Indian Corn or Maize,Maize or Indian Cornmeal,exact,1.0
Indigo,INDIGO,exact,1.0
Ink,INK None,exact,1.0
Iron Bar Angle Bolt and Rod,Bar. Angle. Bolt and Rod,subset,1.0
Iron Bars,Bars,subset,1.0
Iron Manufacturers of Tyres and Axles,Tyres and axles,subset,1.0
Iron Manufactures Girders Beams and Pillars,"Manufactures of Iron or Steel: Girders, Beams, and Pillars",subset,1.0
Iron Manufactures Unenumerated,Manufactures of Iron or Steel: Sewing Machines and parts thereof,subset,1.0
Iron Old,"Old Broken, and Old Cast Iron and Steel",subset,1.0
Iron Ore Including Chrome,"Iron, Ore of (including Chrome)",subset,1.0
Iron Pig,Pig,subset,1.0
Iron Pig and Puddled,Pig and Puddled,subset,1.0
Iron Steel Unwrought,"Steel, Unwrought",subset,1.0
Iron and Steel Old Broken,Old broken Iron and Steel,exact,1.0
Iron and Steel Wrought or Manufactured,Wrought or Manufactured,subset,1.0
"Iron and Steel, Manufactures of, Unenumerated","Manufactures of Iron or Steel, unenumerated",exact,1.0
Isinglass,ISINGLASS None,exact,1.0
Ivory (Elephant Sea Cow Sea Horse or Sea Moose Teeth),IVORY None,exact,1.0
Jute,JUTE None,exact,1.0
Jute Yarn,Yarn,subset,1.0
Jute Yarn and Waste of Jute,Yarn and Waste of,subset,1.0
Lace Machine or Imitation Lace,Machine or Imitation Lace,exact,1.0
Lace Pillow Lace,Pillow Lace,exact,1.0
Lace and Articles thereof,"LACE, and Articles thereof None",exact,1.0
Lace and Articles thereof Cotton,"LACE, and Articles thereof None",subset,1.0
Lace and Articles thereof Other Materials,"LACE, and Articles thereof None",subset,1.0
Lace and Articles thereof Silk,"LACE, and Articles thereof None",subset,1.0
Lard,LARD None,exact,1.0
Lead Manufactures Unenumerated,"Manufactures, unenumerated",subset,1.0
Lead Ore,Ore,subset,1.0
Lead Pig and Sheet,Pig and Sheet,subset,1.0
Leather Dressed,Dressed,subset,1.0
Leather Manufactures Boots and Shoes,Boots and Shoes,subset,1.0
Leather Manufactures Gloves,Unenumerated,subset,1.0
Leather Manufactures Manufactures Unenumerated,Unenumerated,exact,1.0
Leather Undressed,"LEATHER, Undressed None",exact,1.0
Leather Varnished,,unmatched,0.25
Leather Varnished Japanned or Enamelled,"Varnished, Japanned, or Enamelled",subset,1.0
Lemons,Lemons,exact,1.0
Lemons and Oranges,Oranges and Lemons,exact,1.0
Linen Manufactures,LINEN MANUFACTURES None,exact,1.0
Linen Waste,LINEN Waste None,exact,1.0
Linen Yarn,LINEN YARN None,exact,1.0
Linen and Cotton Rags,Linen and Cotton Rags,exact,1.0
Liqueurs Cordials &c not tested or ascertaining the strength,"Liqueurs, Cordials, &c., not tested, for ascertaining the strength",exact,1.0
Liquorice,LIQUORICE None,exact,1.0
Madder,MADDER None,exact,1.0
Madder Garancine,"Madder, Madder Root, Garancine,     and Munjeet",subset,1.0
Madder Madder Root Garancine and Munjeet,"Madder, Madder Root, Garancine,     and Munjeet",exact,1.0
Madder Munjeet,"Madder, Madder Root, Garancine,     and Munjeet",subset,1.0
Madder and Madder Root,"Madder, Madder Root, Garancine,     and Munjeet",subset,1.0
"Mahogany - Furniture, Hardwoods or Veneers","Furniture, Hardwoods, and Veneers : Mahogany",exact,1.0
Maize or Indian Corn Meal,Maize or Indian Corn Meal (including Maizena),exact,1.0
Malt,MALT None,exact,1.0
Manganese Ore,MANGANESE ORE None,exact,1.0
Manure Unenumerated,UNENUMERATED,exact,1.0
Maps and Charts,MAPS and CHARTS None,exact,1.0
Mares,Mares,exact,1.0
Margarine,Margarine (including all kinds of Artificial or Imitation Butters),exact,1.0
Matches,MATCHES None,exact,1.0
Meal Unenumerated,"Meal, Unenumerated",exact,1.0
Meal and Flour Unenumerated,"SAGO, and flour or meal thereof None",subset,1.0
Meat Preserved not Salted,Salted,subset,1.0
Meat Unenumerated Salted or Fresh,Salted or Fresh,subset,1.0
Meat not Otherwise Described,Other Sorts,subset,1.0
Meat unenumerated Preserved otherwise than by Salting Other Sorts,"Preserved, otherwise than by Salting",subset,1.0
Metal Bell,Metals,subset,1.0
"Metal Bell Leaf, not Gold","Leaf, not Gold",subset,1.0
Metal Leaf not Gold,"Leaf, not Gold",subset,1.0
Metal Manufactured,Manufactured : Other Sorts (including Cigarettes),subset,1.0
Metal Old fit only to be re-manufactured,"Old, fit only to be re-manufactured",subset,1.0
Metal Old other than Iron or Copper for re-manufacture,"Manufactures, unenumerated",subset,1.0
Metal Unenumerated Wrought,Metals,subset,1.0
Metal Unenumerated Wrought or Manufactured,Wrought or Manufactured,subset,1.0
Metal Unenumerated unwrought,Metals,subset,1.0
Methylic Alcohol,"METHYLIC ALCOHOL, not purified so as to be Potable",subset,1.0
Mica Talc etc,MICA AND TALC None,subset,1.0
Milk Condensed,"MILK, CONDENSED None",exact,1.0
Molasses,Molasses,exact,1.0
Moss Litter,Moss LITTER None,exact,1.0
Musical Instruments,MUSICAL INSTRUMENTS None,exact,1.0
Muskets Rifles and Guns of any other Sort and Pistols,"Muskets, Rifles, and Guns of any other Sort, and Pistols",exact,1.0
Mutton Fresh,"MUTTON, FRESH None",exact,1.0
Mutton Preserved not by Salting,"Preserved, otherwise than by Salting",subset,1.0
Myrabolans,MYRABOLANS None,exact,1.0
Naphtha,NAPHTHA (Crude) None,exact,1.0
Naphtha Crude,NAPHTHA (Crude) None,subset,1.0
Naphtha Wood not potable,"NAPHTHA, WOOD, not potable None",exact,1.0
Naphtha or Methylic Alcohol purified,NAPHTHA (Crude) None,subset,1.0
Nitrate of Soda,Nitrate of Soda (Cubic Nitre),exact,1.0
Nitre Cubic,"NITRE, CUBIC None",exact,1.0
None,,unmatched,0.0
Nuts and Kernels Unenumerated,NUTS AND KERNELS None,exact,1.0
Nuts and Kernels for expressing Oil,NUTS AND KERNELS None,subset,1.0
Oatmeal,Oatmeal,exact,1.0
Oatmeal and Groats,Oatmeal and Groats,exact,1.0
Oats,Oats,exact,1.0
Oil Castor,Castor,subset,1.0
Oil Coco-nut,Coco-nut,subset,1.0
Oil Seed,"Seed Oil, of all Kinds",exact,1.0
Oil Seed Cake Cotton Seed,Oil SEED CAKE None,subset,1.0
Oil Seed Cake Linseed,Oil SEED CAKE None,subset,1.0
Oil Seed Cake of other sorts,Oil SEED CAKE None,exact,1.0
Oil Turpentine Oil or Spirit of,Spirits None,subset,1.0
Oil Unenumerated,Unenumerated,exact,1.0
Oleo Margarine or Oleo Oil,OLEO-MARGARINE None,subset,1.0
Olive Oil,Olive,subset,1.0
Onions,ONIONS,exact,1.0
Opium,Opium,exact,1.0
Oranges,Oranges,exact,1.0
Ordinance Stores Explosives and Ammunition Unenumerated,Unenumerated,subset,1.0
Ordnance Stores and Ammunition Unenumerated,"Ordnance Stores, Explosives, and Ammunition,     Unenumerated",subset,1.0
Ore Unenumerated,Ore,exact,1.0
Other Fresh Fish,Other sorts of Fresh Fish,exact,1.0
Other Materials and Pulp of Rags and of Wood for Making Paper,"Other Materials, and Pulp of Rags and of Wood",subset,1.0
Other Nuts used as Fruit,"Nuts, used as Fruit",exact,1.0
Oxen and Bulls,Oxen and Bulls,exact,1.0
Oysters Fresh,"Fresh (not of British taking) : Shell fish, Oysters",subset,1.0
Painters Colours Manufactured,Manufactured : Other Sorts (including Cigarettes),subset,1.0
Painters Colours Unmanufactured,Unmanufactured,subset,1.0
Painters Colours and Pigments,PAINTERS' COLOURS AND PIGMENTS None,exact,1.0
Palm Oil,Palm,subset,1.0
Paper Brown and Waste Unenumerated,Unenumerated,subset,1.0
Paper Hangings,Hangings,subset,1.0
Paper Making Materials Esparto and other Vegetable Fibres,Esparto and other Vegetable Fibres,subset,1.0
Paper Making Materials Linen and Cotton Rags,Linen and Cotton Rags,subset,1.0
Paper Making Materials Other Paper Making Materials,Of Other Materials,subset,1.0
Paper Making Materials Pulp of Wood,Pulp of Wood,subset,1.0
Paper Millboard and Pasteboard,Millboard and Pasteboard,subset,1.0
Paper Printed or Coated,Printed or Coated,subset,1.0
Paper Strawboard or Millboard,Strawboard and Millboard,subset,1.0
Paper Unenumerated,Unenumerated,exact,1.0
Paper Wood Pulp Board,Wood Pulp Boards,subset,1.0
Paper and Pasteboard Unprinted,Unenumerated,subset,1.0
Paper for Printing or Writing,For Printing or Writing,subset,1.0
Paraffin,,unmatched,0.0
Pea meal,Pea meal,exact,1.0
Pears Raw,"Pears, Raw",exact,1.0
Peas,Peas,exact,1.0
Pepper (Spice),Pepper,exact,1.0
Percussion Caps,Percussion Caps,exact,1.0
Perfumed Spirits and Cologne Water,Perfumed Spirits (including Water Cologne),subset,1.0
Perfumery Unenumerated,"PERFUMERY, Unenumerated",exact,1.0
Perfumery and Articles used in the Manufacture thereof,"PERFUMERY, and Articles used in the Manufacture thereof",exact,1.0
Perfumery and Articles used in the Manufacture thereof except Perfumed Spirits,"PERFUMERY, and Articles used in the Manufacture thereof, except Perfumed Spirits None",exact,1.0
Petroleum,PETROLEUM None,exact,1.0
Petroleum Refined,PETROLEUM None,subset,1.0
Petroleum Unrefined,Unrefined,subset,1.0
Phosphate of Lime and Rock,Phosphate of Lime and Rock,exact,1.0
Pickles and Vegetables Preserved in Salt or Vinegar,"PICKLES and VEGETABLES, preserved in Salt or Vinegar None",exact,1.0
Pickles and Vegetables preserved in Salt,PICKLES and VEGETABLES preserved in Salt None,exact,1.0
Pickles preserved in Vinegar,"PICKLES and VEGETABLES, preserved in Salt or Vinegar None",subset,1.0
Pictures Drawings and Photographs,"PICTURES, DRAWINGS, and PHOTOGRAPHS None",exact,1.0
Pictures and Drawings by hand,"PICTURES and DRAWINGS, by HAND None",exact,1.0
Pitch,PITCH None,exact,1.0
Plants Shrubs Trees and Flower Roots,"PLANTS, SHRUBS, TREES, and FLOWER ROOTS None",exact,1.0
Plate of Gold,PLATE OF GOLD None,exact,1.0
Plate of Silver gilt or ungilt,"Of Silver, gilt or ungilt",subset,1.0
Plated and Gilt Ware,PLATED and GILT WARE None,exact,1.0
Platina Wrought and Unwrought,"PLATINA, Wrought and Unwrought None",exact,1.0
Playing Cards,"CARDS, PLAYING None",exact,1.0
Plumbago,PLUMBAGO None,exact,1.0
Plums Dried or Preserved,"Plums, Dried or Preserved",exact,1.0
Plums French and Prunelloes,Plums (French) and Prunelloes,subset,1.0
Plums Raw,"Plums, Raw",exact,1.0
Pork Fresh,Fresh (not of British taking),subset,1.0
Pork Salted,Salted,subset,1.0
Pork Salted not Hams,Salted,subset,1.0
Potatoes,POTATOES None,exact,1.0
Poultry and Game alive or dead,"POULTRY and GAME, alive or dead None",exact,1.0
Poultry and Game alive or dead including Rabbits,"POULTRY and GAME, alive or dead None",subset,1.0
Precious Stones Diamonds,PRECIOUS STONES (Unset) None,subset,1.0
Precious Stones Unset,"PRECIOUS STONES, unset None",exact,1.0
Prints Engravings and Photographs,PRINTS and ENGRAVINGS None,subset,1.0
Prints and Engravings,PRINTS and ENGRAVINGS None,exact,1.0
Prunes,Prunes,exact,1.0
Pulp and Rags and Wood for making Paper,Pulp of Rags and Wood,subset,1.0
Pulp of Rags and Wood,Pulp of Rags and Wood,exact,1.0
Pyrites of Iron or Copper,PYRITES of IRON or COPPER None,exact,1.0
Pyrites of Iron or Copper or Sulphur Ore,PYRITES of IRON or COPPER None,subset,1.0
Quicksilver,QUICKSILVER (Metallic) None,exact,1.0
Rabbits,RABBITS None,exact,1.0
Rags Woollen,"RAGS WOOLLEN: Applicable to other uses than Manure, torn up or not None",subset,1.0
Rags Woollen applicable to other uses than Manure torn up or not,"RAGS WOOLLEN: Applicable to other uses than Manure, torn up or not None",exact,1.0
Raisins,Raisins,exact,1.0
Rice,RICE None,exact,1.0
Rice Rough and in the Husk,In the Husk,subset,1.0
Rice not Rough nor in the Husk,In the Husk,subset,1.0
Rice not in the Husk,In the Husk,subset,1.0
Rifles Carbines Muskets and Fowling Pieces,"Muskets, Rifles, Carbines,     Fowling Pieces, or Guns of     any other sorts not enumer-     ated, and parts thereof, and     Pistols",subset,1.0
Rockets and other Combustibles for purposes of War Explosives Percussion Caps and Ammunition,"Rockets and other Combustibles for purposes of War ; Explosives, Percussion Caps, and Ammunition unenumerated",exact,1.0
Rosin,ROSIN,exact,1.0
Rye,Rye,exact,1.0
Rye meal,Rye meal,exact,1.0
Safflower,Safflower,exact,1.0
Sago Sago Meal and Flour,"SAGO, and flour or meal thereof None",subset,1.0
Sago and Sago Flour,SAGO and SAGO FLOUR None,exact,1.0
Salt,SALT None,exact,1.0
Saltpetre,SALTPETRE (NITRATE OF POTASH) None,exact,1.0
Sardines Cured or Salted,"Cured, Sardines",subset,1.0
Sauces or Condiments Unenumerated,"SAUCES or CONDIMENTS, Unenumerated None",exact,1.0
Seeds Garden unenumerated,"Garden, Unenumerated",subset,1.0
Seeds Rape,Seeds None,subset,1.0
Seeds Tares and Lentils,Tares and Lentils,subset,1.0
Seeds Unenumerated Other Sorts,Seeds None,exact,1.0
Seeds Unenumerated for expressing Oil therefrom,"Unenumerated, for expressing oil therefrom",subset,1.0
Sewing Machines,Sewing Machines,exact,1.0
Sheep and Lamb Skins,Sheep and Lambs,subset,1.0
Sheep and Lambs,Sheep and Lambs,exact,1.0
Shell Fish Other sorts,"Shell fish, all sorts",exact,1.0
Shells of all kinds,SHELLS of all kinds None,exact,1.0
Ships Foreign wrecked broken up or to be broken up,"SHIPS, FOREIGN, wrecked, broken up, or to be broken up",exact,1.0
Ships with the Tackle Apparel and Furniture Broken up or to be Broken Up,Broken up or to be Broken up,subset,1.0
Shot of Iron,Shot of Iron,exact,1.0
Shot of Lead,Shot of Lead,exact,1.0
Shumach,SHUMACH,exact,1.0
Silk Knobs or Husks and Waste,In the Husk,subset,1.0
Silk Manufactures Broad Stuffs Plain,"Manufactures, Broad Stuffs, Velvet, plain or figured, wholly of Silk",subset,1.0
Silk Manufactures Broad Stuffs of Silk or Satin,"Manufactures, Broad Stuffs, Silk and Satin",exact,1.0
Silk Manufactures Of Countries out of Europe,Of Countries out of Europe,subset,1.0
Silk Manufactures Plush used for making Hats,"Plush, used for making Hats",subset,1.0
Silk Manufactures Ribbons Silk or Satin,"Manufactures, Ribbons, Silk and Satin",exact,1.0
Silk Manufactures Ribbons other Kinds,"Manufactures, Ribbons, Silk and Satin",subset,1.0
